Order Number,Order Date,Sales Channel,Currency,Warehouse,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Names,Product Name,name,county,state_code,state,type,latitude,longitude,population,households,median_income,Profit,Profit Margin (%)
SO - 0005781,2014-01-01,Wholesale,USD,AXW291,8,2291.4,18331.2,1260.27,Deseret Group,Product 8,Manchester,Hartford County,CT,Connecticut,Town,41.77524,-72.52443,58007,24141,63158,17070.93,93.12
SO - 0008865,2014-01-01,Wholesale,USD,GUT930,7,2874.3,20120.1,1667.094,Kare Corp,Product 1,Brookline,Norfolk County,MA,Massachusetts,Town,42.32385,-71.142,59195,25324,95518,18453.006,91.71
SO - 0009909,2014-01-01,Wholesale,USD,AXW291,10,1045.2,10452.0,679.38,State Ltd,Product 25,Pomona,Los Angeles County,CA,California,City,34.05529,-117.75228,153266,39378,49186,9772.62,93.5
SO - 0001912,2014-01-01,Wholesale,USD,AXW291,5,3852.5,19262.5,2966.425,Lazzy Group,Product 13,South Jordan,Salt Lake County,UT,Utah,City,40.56217,-111.92966,66648,16748,94183,16296.075,84.6
SO - 0010394,2014-01-01,Export,USD,NXH382,11,5219.3,57412.3,4332.019,Zoovu Corp,Product 23,Minnetonka,Hennepin County,MN,Minnesota,City,44.9133,-93.50329,51669,22676,78589,53080.281,92.45
SO - 0002683,2014-01-01,Export,USD,AXW291,12,2914.5,34974.0,1311.525,Zooveo Company,Product 14,Burlington,Alamance County/Guilford County,NC,North Carolina,City,36.07613,-79.4683,52472,21562,36140,33662.475,96.25
SO - 0004272,2014-01-01,Wholesale,USD,FLR025,11,2257.9,24836.9,1196.687,Nexus Group,Product 26,Perry,Monroe County,IN,Indiana,Township,39.11904,-86.51979,53382,22213,43799,23640.213,95.18
SO - 0004580,2014-01-01,Export,USD,NXH382,5,1232.8,6164.0,628.728,Jayo Company,Product 4,Aurora,Kendall County/Kane County/Will County/DuPage County,IL,Illinois,City,41.76346,-88.2901,200661,61449,63090,5535.272,89.8
SO - 0004646,2014-01-01,Wholesale,USD,GUT930,5,3859.2,19296.0,2855.808,Jabbercube Corp,Product 25,Indio,Riverside County,CA,California,City,33.72058,-116.21556,87533,26144,50525,16440.192,85.2
SO - 0007608,2014-01-01,Distributor,USD,NXH382,10,1983.2,19832.0,1606.392,Eire Corp,Product 15,Dayton,Montgomery County,OH,Ohio,City,39.75895,-84.19161,140599,57316,27683,18225.608,91.9
SO - 0007951,2014-01-01,Distributor,USD,NXH382,7,167.5,1172.5,135.675,Muxo Group,Product 3,St. Charles (Township),Kane County,IL,Illinois,Township,41.94151,-88.321,51812,18766,92472,1036.825,88.43
SO - 0001068,2014-01-01,Export,USD,FLR025,11,924.6,10170.6,656.466,Fatz Group,Product 10,Islip,Suffolk County,NY,New York,Town,40.71258,-73.19552,336113,101387,86864,9514.134,93.55
SO - 0002010,2014-01-01,Distributor,USD,NXH382,11,1045.2,11497.2,543.504,WOCKHARDT Group,Product 11,Lansing,Clinton County/Ingham County/Eaton County,MI,Michigan,City,42.71434,-84.55928,115056,48414,35563,10953.696,95.27
SO - 0004190,2014-01-02,Wholesale,USD,AXW291,10,3946.3,39463.0,2249.391,Mydo Corp,Product 13,Atascocita,Harris County,TX,Texas,CDP,29.99883,-95.1766,69470,21812,84982,37213.609,94.3
SO - 0003113,2014-01-02,Wholesale,USD,GUT930,8,1802.3,14418.4,1297.656,Feednation Corp,Product 25,Turlock,Stanislaus County,CA,California,City,37.49466,-120.84659,72292,23983,51401,13120.744,91.0
SO - 0002859,2014-01-02,Distributor,USD,FLR025,11,1688.4,18572.4,776.664,Realcube Company,Product 8,Evansville,Vanderburgh County,IN,Indiana,City,37.97476,-87.55585,119943,51271,35785,17795.736,95.82
SO - 0002824,2014-01-02,Wholesale,USD,AXW291,8,1092.1,8736.8,589.734,Zooxo Ltd,Product 15,Arden-Arcade,Sacramento County,CA,California,CDP,38.60336,-121.38005,92844,40602,45489,8147.066,93.25
SO - 0008746,2014-01-02,Distributor,USD,AXW291,10,2244.5,22445.0,920.245,Cantrell Company,Product 16,Concord,Elkhart County,IN,Indiana,Township,41.65183,-85.94312,55462,19401,38285,21524.755,95.9
SO - 0001523,2014-01-02,Distributor,USD,GUT930,5,6137.2,30686.0,4234.668,Accudial Company,Product 25,Hartford,Hartford County,CT,Connecticut,City,41.76371,-72.68509,124006,45239,30630,26451.332,86.2
SO - 0008686,2014-01-02,Export,USD,NXH382,7,3189.2,22324.4,2647.036,Vimbo Company,Product 21,Greeley,Weld County,CO,Colorado,City,40.42331,-104.70913,100883,33774,48813,19677.364,88.14
SO - 0004531,2014-01-02,Distributor,USD,AXW291,6,3932.9,23597.4,2084.437,Neutrogena Ltd,Product 12,Dearborn Heights,Wayne County,MI,Michigan,City,42.33698,-83.27326,56145,20646,44620,21512.963,91.17
SO - 0002194,2014-01-02,Wholesale,USD,AXW291,7,2680.0,18760.0,1098.8,Quaxo Ltd,Product 20,Spring Hill,Hernando County,FL,Florida,CDP,28.47689,-82.52546,100270,39038,41308,17661.2,94.14
SO - 0004734,2014-01-02,Distributor,USD,AXW291,9,1105.5,9949.5,486.42,Mylan Corp,Product 11,Manhattan,New York County,NY,New York,Borough,40.72833,-73.99417,1644518,738644,47030,9463.08,95.11
SO - 0007387,2014-01-02,Wholesale,USD,NXH382,8,938.0,7504.0,731.64,Brainspher Ltd,Product 26,Temple,Bell County,TX,Texas,City,31.09823,-97.34278,72277,25204,47475,6772.36,90.25
SO - 0006105,2014-01-02,Export,USD,AXW291,11,1896.1,20857.1,777.401,Neutrogena Ltd,Product 14,Plantation,Broward County,FL,Florida,City,26.12759,-80.2331,92560,33208,66647,20079.699,96.27
SO - 0007660,2014-01-02,Wholesale,USD,AXW291,5,2921.2,14606.0,2103.264,Safecor Corp,Product 27,Brookline (CDP),Norfolk County,MA,Massachusetts,CDP,42.33176,-71.12116,59016,25324,95518,12502.736,85.6
SO - 0009316,2014-01-02,Wholesale,USD,AXW291,11,2867.6,31543.6,1319.096,Meejo Corp,Product 11,El Monte,Los Angeles County,CA,California,City,34.06862,-118.02757,116732,30752,38085,30224.504,95.82
SO - 0009694,2014-01-02,Wholesale,USD,AXW291,10,911.2,9112.0,637.84,Fivechat Company,Product 14,Blue Springs,Jackson County,MO,Missouri,City,39.01695,-94.28161,54148,19132,63753,8474.16,93.0
SO - 0008905,2014-01-02,Wholesale,USD,GUT930,7,1092.1,7644.7,589.734,Pacific Ltd,Product 2,Des Plaines,Cook County,IL,Illinois,City,42.03336,-87.8834,58677,22191,65109,7054.966,92.29
SO - 0010547,2014-01-02,Wholesale,USD,FLR025,7,207.7,1453.9,176.545,NCS Group,Product 27,Auburn,King County/Pierce County,WA,Washington,City,47.30377,-122.21,77006,27280,59347,1277.355,87.86
SO - 0001033,2014-01-02,Wholesale,USD,AXW291,9,2552.7,22974.3,2093.214,Vimbo Company,Product 25,Lakewood,Los Angeles County,CA,California,City,33.85363,-118.13396,81611,26083,79193,20881.086,90.89
SO - 0009903,2014-01-02,Wholesale,USD,AXW291,11,3973.1,43704.1,3337.404,Voonyx Group,Product 11,Coon Rapids,Anoka County,MN,Minnesota,City,45.11997,-93.28773,62240,24111,64203,40366.696,92.36
SO - 0007493,2014-01-02,Wholesale,USD,GUT930,8,2351.7,18813.6,1293.435,Browsetype Corp,Product 18,Fort Lauderdale,Broward County,FL,Florida,City,26.12231,-80.14338,178590,73446,50778,17520.165,93.12
SO - 0005505,2014-01-02,Wholesale,USD,GUT930,6,1802.3,10813.8,1315.679,Realpoint Corp,Product 21,Wichita Falls,Wichita County,TX,Texas,City,33.91371,-98.49339,104710,37200,44543,9498.121,87.83
SO - 0007017,2014-01-02,Distributor,USD,NXH382,9,3825.7,34431.3,2486.705,Zoomzone Corp,Product 5,Lorain,Lorain County,OH,Ohio,City,41.45282,-82.18237,63647,25218,35042,31944.595,92.78
SO - 0010346,2014-01-02,Export,USD,AXW291,5,5708.4,28542.0,2283.36,Voolia Ltd,Product 4,Waterbury (Town),New Haven County,CT,Connecticut,Town,41.5585,-73.03668,108802,40213,40467,26258.64,92.0
SO - 0006767,2014-01-02,Distributor,USD,GUT930,10,1983.2,19832.0,1269.248,Oozz Group,Product 16,Phoenix,Maricopa County,AZ,Arizona,City,33.44838,-112.07404,1563025,525610,47326,18562.752,93.6
SO - 0006883,2014-01-02,Distributor,USD,GUT930,12,1246.2,14954.4,834.954,SHISEIDO Ltd,Product 7,Palm Bay,Brevard County,FL,Florida,City,28.03446,-80.58866,107888,37821,43163,14119.446,94.42
SO - 0003527,2014-01-02,Wholesale,USD,AXW291,11,1701.8,18719.8,1429.512,Amerisourc Corp,Product 18,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,232206,72684,105355,17290.288,92.36
SO - 0003901,2014-01-02,Wholesale,USD,AXW291,5,1728.6,8643.0,1019.874,Yodoo Ltd,Product 25,New Rochelle,Westchester County,NY,New York,City,40.91149,-73.78235,79846,28279,70036,7623.126,88.2
SO - 0001098,2014-01-02,Wholesale,USD,AXW291,11,1675.0,18425.0,1155.75,Golden Corp,Product 30,Capital,Sangamon County,IL,Illinois,Township,39.79106,-89.64457,116358,50476,49925,17269.25,93.73
SO - 0001725,2014-01-02,Wholesale,USD,AXW291,8,6525.8,52206.4,2806.094,Mita Corp,Product 15,Tinley Park,Cook County/Will County,IL,Illinois,Village,41.56858,-87.80422,57143,21041,74215,49400.306,94.62
SO - 0003310,2014-01-02,Distributor,USD,FLR025,10,1038.5,10385.0,529.635,General Company,Product 26,Union City,Alameda County,CA,California,City,37.59583,-122.01917,74494,20461,85521,9855.365,94.9
SO - 0004126,2014-01-02,Wholesale,USD,AXW291,10,3041.8,30418.0,2038.006,ALK-Abello Ltd,Product 14,Pinellas Park,Pinellas County,FL,Florida,City,27.8428,-82.69954,51617,20981,41494,28379.994,93.3
SO - 0005940,2014-01-02,Export,USD,GUT930,6,5212.6,31275.6,2814.804,Vinte Group,Product 13,Gilroy,Santa Clara County,CA,California,City,37.00578,-121.56828,53231,14989,83027,28460.796,91.0
SO - 0006793,2014-01-02,Export,USD,AXW291,10,3953.0,39530.0,3043.81,The Ltd,Product 14,Detroit,Wayne County,MI,Michigan,City,42.33143,-83.04575,677116,255740,25764,36486.19,92.3
SO - 0007868,2014-01-02,Distributor,USD,AXW291,9,850.9,7658.1,433.959,Wordpedia Ltd,Product 3,Roseville,Placer County,CA,California,City,38.75212,-121.28801,130269,46547,75867,7224.141,94.33
SO - 0002795,2014-01-02,Wholesale,USD,AXW291,12,3872.6,46471.2,2517.19,Buzzbean Group,Product 26,Harrison,Vigo County,IN,Indiana,Township,39.47555,-87.38835,51268,19760,30400,43954.01,94.58
SO - 000791,2014-01-02,Export,USD,AXW291,5,3108.8,15544.0,1896.368,Jayo Company,Product 17,Hacienda Heights,Los Angeles County,CA,California,CDP,33.99307,-117.96868,55179,16020,78039,13647.632,87.8
SO - 0003756,2014-01-02,Export,USD,AXW291,10,221.1,2211.0,128.238,Bath Group,Product 30,Orland Park,Cook County/Will County,IL,Illinois,Village,41.60815,-87.85929,58619,22048,81453,2082.762,94.2
SO - 0004390,2014-01-02,Export,USD,GUT930,6,5929.5,35577.0,4209.945,Trunyx Ltd,Product 16,Waterbury (Town),New Haven County,CT,Connecticut,Town,41.5585,-73.03668,108802,40213,40467,31367.055,88.17
SO - 0006241,2014-01-02,Wholesale,USD,AXW291,10,1065.3,10653.0,628.527,Roomm Company,Product 3,College Station,Brazos County,TX,Texas,City,30.62798,-96.33441,107889,36175,34186,10024.473,94.1
SO - 0008226,2014-01-02,Wholesale,USD,AXW291,11,938.0,10318.0,684.74,Tambee Company,Product 20,Huntington,Suffolk County,NY,New York,Town,40.88409,-73.37676,204398,69000,105451,9633.26,93.36
SO - 0004104,2014-01-02,Wholesale,USD,NXH382,7,3839.1,26873.7,2457.024,Podcat Corp,Product 23,Grand Forks,Grand Forks County,ND,North Dakota,City,47.92526,-97.03285,57011,23319,46149,24416.676,90.86
SO - 0005545,2014-01-02,Wholesale,USD,AXW291,8,1098.8,8790.4,483.472,Dynazzy Company,Product 2,Manchester,Hartford County,CT,Connecticut,Town,41.77524,-72.52443,58007,24141,63158,8306.928,94.5
SO - 0009934,2014-01-02,Export,USD,NXH382,11,2519.2,27711.2,1058.064,Cadila Ltd,Product 3,Waco,McLennan County,TX,Texas,City,31.54933,-97.14667,132356,46719,33147,26653.136,96.18
SO - 0005765,2014-01-02,Distributor,USD,AXW291,7,5688.3,39818.1,2502.852,Talane Group,Product 13,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,232206,72684,105355,37315.248,93.71
SO - 0009558,2014-01-03,Distributor,USD,NXH382,10,1232.8,12328.0,862.96,Vitz Company,Product 22,Yucaipa,San Bernardino County,CA,California,City,34.03363,-117.04309,53328,18198,56452,11465.04,93.0
SO - 0008587,2014-01-03,Wholesale,USD,FLR025,5,227.8,1139.0,186.796,Zoonoodle Ltd,Product 14,Louisville,Jefferson County,KY,Kentucky,City,38.25424,-85.75941,760026,0,0,952.204,83.6
SO - 0008201,2014-01-03,Distributor,USD,AXW291,8,3356.7,26853.6,1879.752,Oozz Group,Product 26,Perris,Riverside County,CA,California,City,33.78252,-117.22865,74971,16297,49325,24973.848,93.0
SO - 0008833,2014-01-03,Wholesale,USD,NXH382,10,6371.7,63717.0,2803.548,Rhynoodle Ltd,Product 4,Deerfield Beach,Broward County,FL,Florida,City,26.31841,-80.09977,79768,31915,40626,60913.452,95.6
SO - 0010342,2014-01-03,Wholesale,USD,AXW291,9,1916.2,17245.8,1034.748,Remedy Ltd,Product 5,Hollywood,Broward County,FL,Florida,City,26.0112,-80.14949,149728,55823,46791,16211.052,94.0
SO - 0003548,2014-01-03,Export,USD,NXH382,7,1172.5,8207.5,644.875,H Ltd,Product 26,Bayonne,Hudson County,NJ,New Jersey,City,40.66871,-74.11431,66311,25474,54413,7562.625,92.14
SO - 0004273,2014-01-03,Wholesale,USD,NXH382,8,3832.4,30659.2,3219.216,Walgreen Corp,Product 13,Georgetown,Williamson County,TX,Texas,City,30.63269,-97.67723,63716,22665,63041,27439.984,89.5
SO - 0003348,2014-01-03,Wholesale,USD,AXW291,12,884.4,10612.8,477.576,Amerisourc Corp,Product 8,Greenwood,Johnson County,IN,Indiana,City,39.61366,-86.10665,55586,20975,54176,10135.224,95.5
SO - 0003309,2014-01-03,Export,USD,AXW291,7,2351.7,16461.9,1622.673,Vimbo Company,Product 19,Burnsville,Dakota County,MN,Minnesota,City,44.76774,-93.27772,61481,24856,63649,14839.227,90.14
SO - 0001941,2014-01-03,Distributor,USD,GUT930,12,1038.5,12462.0,581.56,Browsebug Company,Product 5,Battle Creek,Calhoun County,MI,Michigan,City,42.32115,-85.17971,51589,20629,36882,11880.44,95.33
SO - 0005395,2014-01-03,Distributor,USD,FLR025,9,1011.7,9105.3,536.201,Skiptube Ltd,Product 25,Ames,Story County,IA,Iowa,City,42.03471,-93.61994,65060,24004,41616,8569.099,94.11
SO - 0001966,2014-01-03,Wholesale,USD,AXW291,10,1172.5,11725.0,973.175,Tekfly Group,Product 3,Roswell,Fulton County/Cobb County,GA,Georgia,City,34.03945,-84.35095,94501,34697,82150,10751.825,91.7
SO - 0010280,2014-01-03,Export,USD,NXH382,8,1058.6,8468.8,529.3,Roomm Company,Product 18,Compton,Los Angeles County,CA,California,City,33.89585,-118.22007,98462,23551,43507,7939.5,93.75
SO - 0003555,2014-01-03,Distributor,USD,AXW291,11,1829.1,20120.1,859.677,Chatterbri Ltd,Product 6,Center,Delaware County,IN,Indiana,Township,40.19153,-85.38601,69064,26656,30568,19260.423,95.73
SO - 0004288,2014-01-03,Export,USD,AXW291,5,221.1,1105.5,152.559,Voolia Ltd,Product 3,Santa Maria,Santa Barbara County,CA,California,City,34.95303,-120.43572,105093,27365,50433,952.941,86.2
SO - 0004460,2014-01-03,Wholesale,USD,GUT930,12,5688.3,68259.6,4152.459,Vitz Company,Product 20,Cherry Hill,Camden County,NJ,New Jersey,Township,39.90461,-74.997,71340,26067,92185,64107.141,93.92
SO - 0004900,2014-01-03,Wholesale,USD,GUT930,10,2405.3,24053.0,986.173,Terumo Corp,Product 2,Hamburg (Town),Erie County,NY,New York,Town,42.73911,-78.85713,58022,23895,62383,23066.827,95.9
SO - 0005729,2014-01-03,Wholesale,USD,NXH382,10,3825.7,38257.0,1836.336,Vimbo Company,Product 13,Wyoming,Kent County,MI,Michigan,City,42.91336,-85.70531,75275,27602,46849,36420.664,95.2
SO - 0005909,2014-01-03,Wholesale,USD,AXW291,9,3859.2,34732.8,1813.824,Eire Corp,Product 17,Colerain,Hamilton County,OH,Ohio,Township,39.25479,-84.62414,58838,22193,56299,32918.976,94.78
SO - 000105,2014-01-03,Wholesale,USD,AXW291,6,1822.4,10934.4,1476.144,Mita Corp,Product 13,Tulsa,Rogers County/Wagoner County/Osage County/Tulsa County,OK,Oklahoma,City,36.12795,-95.90232,403505,164471,42284,9458.256,86.5
SO - 0003563,2014-01-03,Wholesale,USD,GUT930,12,1165.8,13989.6,827.718,Browsebug Company,Product 1,Torrance,Los Angeles County,CA,California,City,33.83585,-118.34063,148475,55377,79549,13161.882,94.08
SO - 0004526,2014-01-03,Export,USD,FLR025,5,3993.2,19966.0,2635.512,SHISEIDO Ltd,Product 5,Richmond,Richmond city,VA,Virginia,City,37.55376,-77.46026,220289,87224,40758,17330.488,86.8
SO - 0010404,2014-01-03,Wholesale,USD,AXW291,12,2472.3,29667.6,1236.15,State Ltd,Product 19,Chula Vista,San Diego County,CA,California,City,32.64,-117.08417,265757,78066,65185,28431.45,95.83
SO - 0009276,2014-01-03,Distributor,USD,GUT930,7,1688.4,11818.8,1215.648,SHISEIDO Ltd,Product 3,Plain,Stark County,OH,Ohio,Township,40.8686,-81.36892,52710,21793,53010,10603.152,89.71
SO - 000198,2014-01-03,Export,USD,FLR025,11,2472.3,27195.3,1433.934,Roberts Company,Product 30,Broomfield,Broomfield County,CO,Colorado,City,39.92054,-105.08665,65065,23531,81898,25761.366,94.73
SO - 0002436,2014-01-03,Distributor,USD,FLR025,11,3859.2,42451.2,1736.64,Flipstorm Group,Product 27,Dallas,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County,TX,Texas,City,32.79333,-96.76651,1300092,477249,43781,40714.56,95.91
SO - 000187,2014-01-03,Wholesale,USD,FLR025,5,891.1,4455.5,632.681,Bath Group,Product 13,Portage,St. Joseph County,IN,Indiana,Township,41.66997,-86.27628,93008,32714,33567,3822.819,85.8
SO - 0008255,2014-01-03,Wholesale,USD,AXW291,6,5681.6,34089.6,4090.752,Twitterbri Ltd,Product 30,Redding,Shasta County,CA,California,City,40.58654,-122.39168,91582,35436,43341,29998.848,88.0
SO - 0007483,2014-01-03,Distributor,USD,NXH382,9,944.7,8502.3,566.82,Fivebridge Ltd,Product 25,Brockton,Plymouth County,MA,Massachusetts,City,42.08343,-71.01838,95314,32764,47557,7935.48,93.33
SO - 0002911,2014-01-03,Wholesale,USD,AXW291,6,911.2,5467.2,665.176,Mycone Ltd,Product 15,The Hammocks,Miami-Dade County,FL,Florida,CDP,25.67149,-80.4445,54833,15687,58655,4802.024,87.83
SO - 0004386,2014-01-03,Distributor,USD,AXW291,9,1045.2,9406.8,418.08,Camido Company,Product 19,Clay,Hamilton County,IN,Indiana,Township,39.96548,-86.14837,92745,32998,103718,8988.72,95.56
SO - 0004792,2014-01-03,Wholesale,USD,AXW291,6,167.5,1005.0,83.75,Skinder Group,Product 1,Whittier,Los Angeles County,CA,California,City,33.97918,-118.03284,87438,27525,66457,921.25,91.67
SO - 0005414,2014-01-03,Wholesale,USD,AXW291,7,1835.8,12850.6,1413.566,Eayo Company,Product 25,Oshkosh,Winnebago County,WI,Wisconsin,City,44.02471,-88.54261,66555,26152,42650,11437.034,89.0
SO - 0005609,2014-01-03,Distributor,USD,AXW291,7,3966.4,27764.8,1903.872,Ozu Ltd,Product 10,Montebello,Los Angeles County,CA,California,City,34.00944,-118.10528,63921,19816,45875,25860.928,93.14
SO - 0009671,2014-01-03,Distributor,USD,AXW291,7,1105.5,7738.5,928.62,Natures Group,Product 5,Lockport (Township),Will County,IL,Illinois,Township,41.59625,-88.08915,60056,20428,60827,6809.88,88.0
SO - 0006308,2014-01-03,Wholesale,USD,AXW291,8,214.4,1715.2,124.352,US Ltd,Product 28,Mesa,Maricopa County,AZ,Arizona,City,33.42227,-111.82264,471825,168914,48809,1590.848,92.75
SO - 0006534,2014-01-03,Distributor,USD,AXW291,9,5152.3,46370.7,3709.656,Snaptags Ltd,Product 15,Tamiami,Miami-Dade County,FL,Florida,CDP,25.75871,-80.39839,57123,16085,46449,42661.044,92.0
SO - 0007139,2014-01-03,Wholesale,USD,AXW291,6,2418.7,14512.2,1910.773,Quaxo Ltd,Product 2,Framingham,Middlesex County,MA,Massachusetts,Town,42.30791,-71.4362,71209,27028,68219,12601.427,86.83
SO - 0001045,2014-01-03,Export,USD,NXH382,12,1125.6,13507.2,529.032,Lazzy Group,Product 30,Temple,Bell County,TX,Texas,City,31.09823,-97.34278,72277,25204,47475,12978.168,96.08
SO - 0002195,2014-01-03,Wholesale,USD,AXW291,7,1675.0,11725.0,686.75,Mycone Ltd,Product 15,New Orleans,Orleans Parish,LA,Louisiana,City,29.95465,-90.07507,389617,153140,36792,11038.25,94.14
SO - 0002314,2014-01-03,Wholesale,USD,GUT930,5,6304.7,31523.5,2774.068,Voolia Ltd,Product 14,Cicero (Township),Cook County,IL,Illinois,Township,41.84454,-87.75929,83886,21721,41866,28749.432,91.2
SO - 0003775,2014-01-03,Distributor,USD,AXW291,12,891.1,10693.2,516.838,Kazu Corp,Product 18,Pasadena,Los Angeles County,CA,California,City,34.14778,-118.14452,142250,54536,72402,10176.362,95.17
SO - 0006097,2014-01-03,Wholesale,USD,NXH382,8,2010.0,16080.0,1386.9,Zoomdog Corp,Product 25,Erie,Erie County,PA,Pennsylvania,City,42.12922,-80.08506,99475,41131,34253,14693.1,91.38
